owner_repo,last_commit_date,num_authors,num_committers,num_domains,time_to_commit_hours,num_changed,num_issue_authors,num_issue_domains,time_to_first_attention,last_created_issue_date,last_updated_issue_date,last_created_pr_date,last_updated_pr_date,age,num_lines,num_commits,num_files,num_core,num_regular,num_casual,size,num_stars,num_forks,num_subscribers,num_total_open_issues,num_closed_issue,time_closed_issue,num_closed_pr,time_closed_pr,num_open_issue,time_open_issue,num_open_pr,time_open_pr,info
ohler55/oj,3810,2573,36,181,User,False,1246,5,186,72,,0,0,14,433,8,15,2,153,2,5,3013,3,20,239,121,10810,842,30,,151
fontforge/fontforge,96368,3162,153,487,Organization,False,19266,27,27,139,,44,3,823,1612,78,102,10,1921,9,110,5946,13,114,122449,164423,0,0,18,19,
IoLanguage/io,26133,2168,145,268,Organization,False,2633,1,10,121,,0,0,54,189,0,0,3,184,0,0,4833,1,1,41,0,0,0,82,1,
lloyd/yajl,2095,1944,94,390,User,False,275,9,20,20,,0,0,72,43,2,0,76,37,2,0,4196,0,0,0,0,0,0,120,,567
raspberrypi/userland,35818,1647,256,940,Organization,False,799,3,0,85,,9,0,55,273,14,8,7,299,2,10,2789,8,36,1696,1358,0,0,25,1,
irssi/irssi,7581,2172,107,291,Organization,False,6144,5,70,91,,30,1,118,348,12,8,14,709,7,25,5778,4,30,864,397,0,0,4,14,
Qihoo360/phptrace,1704,1618,158,403,Organization,False,502,1,7,10,,11,0,26,63,3,0,0,17,0,0,2019,0,0,0,0,0,0,58,7,
libusb/libusb,4548,2585,262,1178,Organization,False,1519,1,340,143,,20,2,91,403,15,31,13,231,10,21,4301,13,99,11911,23466,0,0,4,4,
tvheadend/tvheadend,59502,1753,257,745,Organization,False,10810,26,47,231,,0,0,,,,,19,1325,4,18,4693,6,23,81,91,0,0,8,3,
veracrypt/VeraCrypt,179478,2499,179,441,Organization,False,1607,2,38,39,,7,0,328,192,51,8,12,98,6,2,2551,3,49,1838,690,24,2,8,,
paparazzi/paparazzi,77100,1094,170,933,Organization,False,15595,31,58,107,,42,1,75,631,5,2,11,1821,8,46,5617,15,103,21662,3443,0,0,29,10,
dlundquist/sniproxy,1094,1759,113,322,User,False,741,13,10,25,,11,0,79,179,8,1,11,88,2,2,3461,1,1,2,2,0,0,40,,69
audacity/audacity,196443,2945,191,721,Organization,False,12090,3,18,105,,19,3,56,57,51,35,11,442,2,76,1907,29,1062,760713,876757,0,0,5,4,
vlfeat/vlfeat,10399,1313,158,580,Organization,False,2059,2,26,18,,0,2,103,52,1,1,25,30,1,0,4735,0,0,0,0,0,0,9,,
zephyrproject-rtos/zephyr,335023,3320,345,2022,Organization,False,41367,20,114,695,,177,9,1088,7997,461,844,584,16413,455,2984,2005,60,3831,496876,302397,0,0,69,13,
netblue30/firejail,13073,2545,102,345,User,False,6231,8,48,192,,15,0,205,1973,63,180,8,1260,7,128,1774,28,438,47205,43044,0,0,6,,93
panda-re/panda,169787,1625,141,386,Organization,False,54799,34,16,770,,7,1,62,211,28,19,9,394,6,109,4147,6,215,33071,28705,0,0,6,4,
megous/megatools,1,1466,90,182,User,False,2,1,0,1,,13,0,33,377,2,2,0,44,0,0,430,0,0,0,0,0,0,3,,75
sgminer-dev/sgminer,16123,565,129,854,Organization,False,6498,6,13,84,,16,4,137,244,0,1,17,107,0,0,3398,0,0,0,0,0,0,1,,
google/honggfuzz,191908,1895,130,392,Organization,False,3780,2,18,45,,12,0,10,169,8,28,0,163,0,13,1837,11,331,7293,4831,0,0,1,1,
cesanta/v7,19733,1248,93,160,Organization,False,1911,7,3,17,,11,4,48,103,0,0,2,436,0,0,2376,0,0,0,0,0,0,58,1,
haproxy-unofficial-obsolete-mirrors/haproxy,19218,919,98,317,Organization,False,6096,1,196,120,,6,0,,,,,0,20,0,0,4476,0,0,0,0,0,0,9,,
the-tcpdump-group/tcpdump,25174,1324,122,573,Organization,False,6153,20,42,119,,60,2,59,491,11,11,33,273,2,19,7276,7,175,3630,2309,0,0,8,4,
traviscross/mtr,1304,1445,87,245,User,False,656,4,73,53,,6,0,97,92,13,7,7,155,1,5,7906,4,8,34,14,0,0,103,,65
a0rtega/pafish,1147,1396,159,303,User,False,166,2,16,9,,7,0,13,23,0,0,0,30,0,0,2397,0,0,0,0,0,0,15,,222
jgarff/rpi_ws281x,362,1224,107,463,User,False,211,3,0,49,,8,0,67,216,8,4,2,117,1,5,2110,4,4,20,13,0,0,2,,63
Celtoys/Remotery,1231,1465,77,162,User,False,666,2,0,30,,7,0,28,74,0,0,2,63,0,3,2285,4,11,296,193,0,0,17,,94
EtchedPixels/FUZIX,13728,1172,128,143,User,False,7573,1,0,30,,14,1,40,274,8,12,1,475,0,9,2054,5,14,85,67,0,0,24,,198
raysan5/raylib,343389,4073,187,474,User,False,3971,3,16,144,,14,0,15,694,12,135,0,558,0,86,2425,46,545,62096,88620,0,0,12,,662
nesbox/TIC-80,121703,1888,88,190,User,False,1227,3,31,41,,27,1,268,652,39,43,4,185,3,52,1438,12,136,94713,64208,0,0,22,,323
iNavFlight/inav,250015,1287,149,740,Organization,False,9688,58,66,261,,22,3,309,2750,110,210,69,2692,31,211,2628,20,290,10595,7976,0,0,14,3,
vmware/open-vm-tools,22081,1257,147,278,Organization,False,4654,30,88,9,,8,0,139,239,17,19,33,24,3,4,2173,1,120,6681,3188,0,0,193,149,
karlstav/cava,7041,1620,43,121,User,False,615,4,16,40,,6,0,12,203,3,26,0,146,0,43,2278,10,96,6610,4504,0,0,3,,29
koush/android_system_core,2833,27,3,969,User,False,858,2,0,29,,0,0,,,,,0,0,0,0,4245,0,0,0,0,0,0,297,,165
confluentinc/confluent-kafka-python,1816,1819,233,484,Organization,False,590,70,175,54,,22,1,184,427,75,30,21,262,8,39,1522,13,64,14885,1073,1296,106,168,170,
alibaba/ApsaraCache,69744,896,119,158,Organization,False,6408,3,0,229,,8,0,12,2,1,0,2,2,0,0,4098,0,0,0,0,0,0,318,151,
danielgtaylor/jpeg-archive,2052,1021,47,106,User,False,159,2,8,18,,6,0,36,52,3,1,4,27,1,2,2348,2,2,6,6,0,0,86,,271
openssh/openssh-portable,21760,1103,107,850,Organization,False,10541,53,140,51,,6,0,,,,,37,146,14,16,7535,10,352,10413,6885,0,0,3,,
orangeduck/Corange,240515,1164,95,144,User,False,355,1,0,9,,0,0,9,24,6,0,1,24,1,4,3328,1,2,4,4,0,0,16,,1
