full_name,size,formats,files,mirror_url,archived,disabled,info
VaastavA/Monte-Carlo-,18,"{'': 1, 'xml': 6, 'iml': 2, 'java': 7, 'class': 6, 'md': 1}",23,,False,False,
BluePay/BluePay-Android-SDK,3133,"{'': 2, 'md': 1, 'iml': 1, 'gradle': 3, 'java': 8, 'json': 13, 'class': 76, 'xml': 34, 'aidl': 6, 'zip': 1, 'jar': 9, 'store': 2, 'png': 4, 'jpg': 2, 'ap_': 2, 'txt': 2, 'dex': 1, 'apk': 2, 'properties': 2, 'bat': 1}",172,,False,False,
zoripong/LionStudy,40,"{'': 2, 'jsdtscope': 1, 'prefs': 1, 'component': 1, 'xml': 2, 'container': 1, 'name': 1, 'md': 1, 'MF': 1, 'java': 3, 'jsp': 17, 'css': 8, 'txt': 3, 'svg': 1, 'class': 2}",45,,False,False,
rahulpatidar009/RealmExample,139,"{'': 2, 'xml': 19, 'md': 1, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 10, 'png': 22, 'properties': 2, 'jar': 1, 'bat': 1}",63,,False,False,
wintercoder/Gdufe-Drcom-Android,197,"{'': 3, 'md': 1, 'gradle': 3, 'pro': 1, 'java': 9, 'xml': 7, 'png': 7, 'properties': 2, 'jar': 1, 'bat': 1}",35,,False,False,
RatMoleRat/Nautical,30,"{'': 1, 'md': 1, 'png': 2, 'block': 1, 'mat': 1, 'obj': 1, 'prefab': 1, 'shape': 1, 'txt': 1, 'java': 3}",13,,False,False,
searhiy/document-generators,89,"{'': 2, 'md': 3, 'gradle': 2, 'jar': 1, 'properties': 1, 'bat': 1, 'java': 13}",23,,False,False,
jnphpgt2/six-group-ws,26300,"{'': 1, 'gradle': 7, 'java': 15, 'xml': 6, 'jpg': 84, 'png': 26, 'gif': 5, 'jpeg': 1, 'html': 4, 'jsp': 2, 'js': 1, 'css': 1}",153,,False,False,
JesseGansler/SchoolWork,,,,,,,Not Found
JenkinsWebP/MavenWeb,10001,"{'': 4, 'jsdtscope': 1, 'prefs': 4, 'component': 1, 'xml': 5, 'container': 1, 'name': 1, 'MF': 1, 'java': 1, 'jsp': 1}",20,,False,False,
codewalkerster/android_amlogic_tools_system_monitor,8,"{'mk': 1, 'xml': 7, 'flags': 1, 'java': 3}",12,,False,False,
Nanotekfr/tri,,,,,,,Not Found
ashika-m/cs301HW2,129,"{'': 2, 'ser': 1, 'xml': 14, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 5, 'png': 10, 'properties': 2, 'jar': 1, 'bat': 1}",41,,False,False,
Jakz/esolang-playground,579,"{'': 3, 'prefs': 3, 'jar': 1, 'xml': 2, 'g4': 1, 'java': 64, 'jjt': 1, 'cas': 5}",80,,False,False,
rirungayu/QUIZAPP,129,"{'': 2, 'ser': 1, 'xml': 15, 'md': 1, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 5, 'png': 10, 'properties': 2, 'jar': 1, 'bat': 1}",43,,False,False,
pierrezammit10/TP1POO,2,"{'': 1, 'java': 3}",4,,False,False,
Arundeepak/GeekTrust_Traffic,22,"{'DS_Store': 3, 'classpath': 1, 'gitignore': 1, 'project': 1, 'prefs': 1, 'java': 19}",26,,False,False,
gopiyatam/FxApplication,24,"{'classpath': 1, 'project': 1, 'jsdtscope': 1, 'prefs': 6, 'component': 1, 'xml': 4, 'container': 1, 'name': 1, 'java': 11, 'properties': 5, 'jsp': 1, 'html': 2, 'css': 1, 'js': 1, 'class': 12, 'MF': 1, 'md': 1}",51,,False,False,
mmadhavan/parkify_android,,,,,,,Not Found
Megumin94/serumjava,7056,"{'jar': 5, 'xml': 4, 'properties': 4, 'jpg': 42, 'png': 20, 'JPG': 2, 'class': 66, 'TXT': 1, 'mf': 1, 'sql': 1, 'form': 13, 'java': 15}",174,,False,False,nahdhiana/serumjava
amithkk/ThingsPlayground,59,"{'': 2, 'xml': 9, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 3, 'properties': 2, 'jar': 1, 'bat': 1}",23,,False,False,
nfelipe-tabares/moviles,1677,"{'': 2, 'xml': 14, 'md': 1, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 4, 'png': 19, 'properties': 2, 'jar': 1, 'bat': 1}",49,,False,False,
snw2015/NewText,62,"{'': 3, 'xml': 4, 'eml': 1, 'iml': 1, 'userlibraries': 1, 'class': 13, 'java': 6}",29,,False,False,
sergioca97/PracticaT4-PMDM,786,"{'xml': 51, 'java': 18, 'gitignore': 4, 'gradle': 6, 'pro': 2, 'png': 27, 'properties': 4, 'jar': 2, '': 2, 'bat': 2, 'jpg': 6}",124,,False,False,
jshan2017/cs496_project2,3316,"{'': 2, 'xml': 28, 'py': 2, 'gitignore': 1, 'gradle': 3, 'jar': 11, 'pro': 1, 'java': 18, 'png': 13, 'properties': 2, 'bat': 1}",82,,False,False,
AlecXin/alec-static-maven-plugin,,,,,,,Not Found
LittleDouchebag/IDEA-PROJECTS,3617,"{'xml': 104, 'iml': 29, 'class': 119, 'java': 91, 'txt': 211, 'dat': 1, 'bak': 2, 'pdf': 1}",558,,False,False,
changjin86/RiskBoardGame,108,"{'': 1, 'yml': 1, 'md': 1, 'txt': 10, 'xml': 8, 'properties': 2, 'java': 31, 'class': 31, 'lst': 4, 'jar': 1}",90,,False,False,
ProLik/java-base,16,"{'': 1, 'iml': 9, 'xml': 21, 'java': 9, 'jsp': 6, 'info': 3}",49,,False,False,
relekang/Kube95-Android,659,"{'': 2, 'xml': 15, 'png': 6, 'java': 12}",35,,False,False,
akhileshtripa/dsa-practise,8,"{'': 2, 'prefs': 1, 'md': 1, 'class': 2, 'java': 2}",8,,False,False,
grimto/Rimel.App,11,"{'md': 1, 'java': 15, 'xml': 2, 'properties': 1, 'jsp': 1}",20,,False,False,
ZRory/autoup,,,,,,,Not Found
amitsrivastava4all/JavaBatchDec4to6Reg,7643,"{'java': 119, 'jpg': 6, 'png': 7, 'gif': 17, 'mp3': 2, 'properties': 4, 'xls': 2, 'jar': 2, 'jpeg': 1, 'zip': 1}",161,,False,False,
KhenAharon/Arkanoid-Game,63,"{'': 2, 'MF': 1, 'md': 1, 'jar': 2, 'java': 34}",40,,False,False,
NiYiHao/Note,147,"{'': 3, 'ser': 1, 'xml': 23, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 7, 'png': 10, 'properties': 2, 'jar': 1, 'bat': 1}",53,,False,False,
