name,size,stars,watches,forks,owner_type,if_fork,commits,branches,releases,contributors,projects,labels,milestones,open_issues,closed_issues,open_issues_recent,closed_issues_recent,open_prs,closed_prs,open_prs_recent,closed_prs_recent,age,recent_contributors,recent_commits,recent_added,recent_deleted,dependent_repositories,dependent_packages,repositories,people,followers,info
openbsd/src,1110779,1511,134,430,Organization,False,205989,1,0,80,,7,0,,,,,0,17,0,3,8326,53,3018,1814929,1227362,0,0,4,2,,
strongswan/strongswan,93378,956,100,443,Organization,False,17477,87,218,75,,0,0,,,,,13,160,1,11,5337,5,165,11177,3252,0,0,8,1,,
GNOME/glib,97323,866,75,364,Organization,False,21819,303,478,609,,6,0,,,,,0,32,0,1,8039,32,253,19159,13969,0,0,393,2,,
gpac/gpac,119978,995,87,309,Organization,False,9800,7,7,44,,17,1,96,1085,47,78,5,320,1,15,5435,6,88,1167,491,0,0,22,,,
gnab/rtl8812au,2059,1058,99,395,User,False,138,1,0,50,,6,0,101,30,6,3,1,61,0,6,2397,5,5,12,6,0,0,29,,182,
buserror/simavr,4564,994,75,249,User,False,952,4,18,66,,7,0,59,93,11,4,22,208,4,8,3853,6,7,46,20,0,0,26,,114,
coreutils/coreutils,37867,1631,91,430,Organization,False,29052,6,365,161,,6,0,2,13,1,2,1,16,1,1,10090,11,58,2367,1454,0,0,3,2,,
OP-TEE/optee_os,22006,786,149,567,Organization,False,3787,10,41,125,,10,1,24,1633,24,163,15,2256,15,258,2201,30,374,48602,27022,0,0,8,,,
pgbouncer/pgbouncer,2826,1073,65,259,Organization,False,1217,3,54,37,,9,0,108,224,22,11,39,119,7,5,4840,4,43,3181,2563,0,0,2,,,
lanoxx/tilda,3821,905,40,139,User,False,592,14,34,45,,14,2,90,229,9,11,9,94,1,1,2915,2,37,6629,6322,0,0,26,,37,
emsec/ChameleonMini,9716,948,127,248,Organization,False,332,2,1,25,,7,0,48,148,10,4,11,56,2,4,2362,3,7,6871,2838,0,0,12,2,,
DuyTrandeLion/BLE_Bike_mbed_os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Found
yasm/yasm,27906,854,78,215,Organization,False,2159,23,21,21,,7,0,85,18,1,1,17,25,4,1,6975,4,4,37,392,0,0,5,1,,
TheOfficialFloW/VitaShell,52239,942,134,177,User,False,996,1,52,85,,14,0,66,337,8,3,0,163,0,12,1606,9,15,756,548,0,0,20,,1,
netsniff-ng/netsniff-ng,3063,834,100,204,Organization,False,1328,2,22,40,,7,0,40,92,2,1,4,85,0,5,2649,4,11,28,12,0,0,2,,,
corosync/corosync,21882,812,96,172,Organization,False,4144,37,84,66,,3,0,33,153,8,6,11,362,4,27,5463,5,27,1090,750,0,0,5,3,,
nexjhealth/x264,4847,0,1,0,User,False,2762,1,0,93,,7,0,0,0,0,0,0,0,0,0,5190,0,0,0,0,0,0,24,,3,
MZO9400/android_device_oneplus_bacon-Minimal,8513,0,1,0,User,False,391,6,0,36,,7,0,0,0,0,0,0,0,0,0,2292,0,0,0,0,0,0,100,,32,
LILIDD/FFmpeg,131268,0,1,0,User,False,67391,2,0,619,,7,0,,,,,0,0,0,0,7101,0,0,0,0,0,0,130,,30,
FRRouting/frr,73741,1373,170,563,Organization,False,19978,20,50,223,,65,7,368,1270,97,108,73,4850,62,765,4805,41,1086,88551,35802,0,0,6,25,,
antirez/disque,2493,7666,444,528,User,False,602,1,1,53,,11,1,42,64,0,0,18,92,1,0,2047,0,0,0,0,0,0,63,,14,
SamyPesse/How-to-Make-a-Computer-Operating-System,5986,18792,1671,3268,User,False,243,1,12,34,,6,1,38,25,1,0,37,54,1,0,2390,0,0,0,0,0,0,86,,2,
NurKeinNeid/dharma_kernel_nextbit_msm8992,647254,0,1,0,User,False,435328,3,4,4750,,8,0,,,,,0,0,0,0,6639,0,0,0,0,0,0,60,,23,
sdegutis/mjolnir,11473,5081,86,136,Organization,False,1502,2,4,32,,7,1,0,493,0,0,0,82,0,0,2355,1,1,19,0,0,0,10,,,sdegutis/mjolnir
axxx007xxxz/android_hardware_qcom_audio,2169,0,1,0,User,False,1330,1,0,30,,8,0,0,0,0,0,0,0,0,0,2901,0,0,0,0,0,0,107,,6,
ZdrowyGosciu/caf_device,994,0,0,0,User,False,1612,1,0,13,,7,0,,,,,0,0,0,0,3447,0,0,0,0,0,0,27,,19,
rootmelo92118/SoftEtherVPN_Stable,356640,0,0,0,User,False,187,1,5,30,,8,0,0,0,0,0,0,0,0,0,2355,0,0,0,0,0,0,75,,80,
tizenorg/platform.upstream.libva-intel-driver,4565,0,2,0,Organization,False,1308,32,126,22,,7,0,0,0,0,0,0,0,0,0,3972,0,0,0,0,0,0,1,,,
lyzsh/apv,64458,0,0,0,User,False,300,2,1,5,,16,0,116,55,0,0,0,0,0,0,4413,0,0,0,0,0,0,2,,0,
fogleman/Craft,14647,7926,371,1014,User,False,751,16,1,9,,6,0,65,75,5,1,38,84,9,10,2621,1,1,2,2,0,0,131,,4,
furthestworld/-pecl-php-memcache,298,0,1,0,Organization,False,221,1,0,10,,7,0,0,0,0,0,0,0,0,0,5967,0,0,0,0,0,0,14,,,
michaelarmstrong/mongoose,692,0,0,0,User,False,279,1,0,3,,17,0,32,383,0,0,0,0,0,0,3692,0,0,0,0,0,0,30,,28,
bluelinkgaming/nintendon-t,58570,0,0,0,User,False,329,2,0,3,,12,0,133,64,0,0,0,0,0,0,2236,0,0,0,0,0,0,1,,0,
TurokMods/T4Editor,3449,2,2,0,Organization,False,113,5,0,2,,8,0,27,1,0,0,0,5,0,0,983,0,0,0,0,0,0,2,,,
macks22/comdetect,480,1,3,1,User,False,97,2,0,2,,7,0,4,8,0,0,0,0,0,0,1956,0,0,0,0,0,0,41,,28,
JamesH65/GertMatrix,120,0,2,2,User,False,5,1,0,2,,6,0,0,0,0,0,0,1,0,0,2376,0,0,0,0,0,0,21,,39,
michaelsvit/FIAR,48,0,2,0,User,False,82,1,0,2,,7,0,0,0,0,0,0,7,0,0,1116,0,0,0,0,0,0,13,,1,
dasfoo/rpi-gpio,6,1,2,0,Organization,False,16,1,1,2,,7,0,0,0,0,0,0,7,0,0,1627,0,0,0,0,0,0,17,2,,
ahmadfahmip/syntax-validator-tbfo,56,3,1,3,User,False,31,1,0,2,,8,0,0,0,0,0,0,2,0,0,934,0,0,0,0,0,0,35,,27,
zishuiym/vim,43812,0,0,0,User,False,6781,4,3435,1,,15,0,77,188,0,0,0,0,0,0,3685,0,0,0,0,0,0,22,,0,
Cisteaux/gimp-dds,1662,0,0,0,User,False,190,5,16,1,,13,0,19,24,0,0,0,0,0,0,3692,0,0,0,0,0,0,2,,0,
XPila/HW,80,0,1,0,User,False,44,1,0,1,,7,0,3,1,0,0,0,0,0,0,1662,0,0,0,0,0,0,20,,1,
tluyben/php-for-android,1672,0,0,0,User,False,8,1,1,1,,12,0,14,4,0,0,0,0,0,0,3608,0,0,0,0,0,0,148,,26,
dlopez890/skipfish,352,0,0,0,User,False,9,2,0,1,,18,0,39,178,0,0,0,0,0,0,2950,0,0,0,0,0,0,2,,0,
stefanesser/opensource_taig,168,129,44,33,User,False,20,1,0,1,,7,0,1,0,0,0,0,2,0,0,1816,0,0,0,0,0,0,13,,979,
j4cobgarby/raytracer,12521,0,1,1,User,False,29,1,0,1,,9,0,4,0,0,0,0,0,0,0,822,0,0,0,0,0,0,86,,13,
DeXP/xkb-switch-win,196,15,1,1,User,False,16,1,1,1,,6,0,0,1,0,0,0,0,0,0,2628,0,0,0,0,0,0,30,,26,
